Date,Open,High,Low,Close,Volume
1/2/2024 16:00:00,0.92,0.98,0.91,0.97,553713
1/3/2024 16:00:00,0.97,1.03,0.93,1,744085
1/4/2024 16:00:00,0.96,0.98,0.94,0.95,447008
1/5/2024 16:00:00,0.96,0.96,0.85,0.85,572207
1/8/2024 16:00:00,0.87,0.92,0.84,0.92,863712
1/9/2024 16:00:00,0.9,1.03,0.9,0.99,1338917
1/10/2024 16:00:00,0.97,1.01,0.92,1,604511
1/11/2024 16:00:00,0.98,0.98,0.91,0.93,462983
1/12/2024 16:00:00,0.92,0.98,0.91,0.97,384503
1/16/2024 16:00:00,0.95,0.97,0.9,0.93,440799
1/17/2024 16:00:00,0.92,0.92,0.86,0.87,694503
1/18/2024 16:00:00,0.89,0.9,0.83,0.87,787322
1/19/2024 16:00:00,0.86,0.9,0.81,0.87,726360
1/22/2024 16:00:00,0.89,0.89,0.82,0.85,354610
1/23/2024 16:00:00,0.84,0.86,0.81,0.85,364723
1/24/2024 16:00:00,0.86,0.89,0.79,0.81,260287
1/25/2024 16:00:00,0.8,0.85,0.76,0.8,503838
1/26/2024 16:00:00,0.81,0.88,0.76,0.8,257131
1/29/2024 16:00:00,0.81,0.93,0.8,0.86,896178
1/30/2024 16:00:00,0.89,0.89,0.83,0.87,503509
1/31/2024 16:00:00,0.85,0.89,0.84,0.84,575375
2/1/2024 16:00:00,0.9,0.92,0.76,0.83,437360
2/2/2024 16:00:00,0.81,0.87,0.77,0.83,306406
2/5/2024 16:00:00,0.82,0.86,0.78,0.83,237347
2/6/2024 16:00:00,0.83,0.87,0.83,0.87,240576
2/7/2024 16:00:00,0.85,0.89,0.83,0.87,831668
2/8/2024 16:00:00,0.85,0.88,0.84,0.86,230360
2/9/2024 16:00:00,0.85,0.89,0.84,0.87,812527
2/12/2024 16:00:00,0.87,0.95,0.85,0.88,2939116
2/13/2024 16:00:00,0.86,0.95,0.83,0.95,789729
2/14/2024 16:00:00,0.96,0.97,0.92,0.97,1016695
2/15/2024 16:00:00,0.97,1.05,0.95,1.03,1230259
2/16/2024 16:00:00,1.06,1.17,1,1.08,2626503
2/20/2024 16:00:00,1.15,1.33,1.11,1.26,3477304
